CRAB	sp	sex	sp_and_sex	pc1	FL	RW	CL	CW	BD
BM1	0	0	0	-4.91488687	-2.140859521	-2.346561387	-2.248284613	-2.212220425	-2.052837226
BM2	0	0	0	-4.374888417	-1.940592026	-1.95796134	-1.967345609	-1.983560586	-1.936041139
BM3	0	0	0	-4.118032852	-1.826153458	-1.919101335	-1.840923057	-1.780307396	-1.848444074
BM4	0	0	0	-3.873676	-1.711714889	-1.88024133	-1.686406605	-1.691384125	-1.702448965
BM5	0	0	0	-3.824179115	-1.654495605	-1.841381325	-1.658312705	-1.704087449	-1.702448965
BM6	0	0	0	-2.945345314	-1.368399184	-1.452781278	-1.27904505	-1.259471096	-1.235264616
BM7	0	0	0	-2.671550461	-1.282570257	-1.103041235	-1.166669448	-1.18325115	-1.235264616
BM8	0	0	0	-2.541860604	-1.139522046	-1.413921273	-1.068340797	-1.018107933	-1.060070486
BM9	0	0	0	-2.578519879	-1.082302762	-1.219621249	-1.110481647	-1.094327879	-1.264463638
BM10	0	0	0	-2.200183246	-1.082302762	-0.869881206	-0.970012145	-0.903778013	-1.089269508
BM11	0	0	0	-1.754042259	-0.967864194	-0.753301192	-0.675026191	-0.611601552	-0.914075377
BM12	0	0	0	-1.679549001	-0.939254551	-0.675581183	-0.745260942	-0.624304877	-0.768080268
BM13	0	0	0	-1.738319507	-0.853425625	-1.06418123	-0.618838391	-0.598898228	-0.768080268
BM14	0	0	0	-1.77115054	-0.796206341	-0.986461221	-0.689073142	-0.586194904	-0.914075377
BM15	0	0	0	-1.64601354	-0.796206341	-0.714441187	-0.660979241	-0.624304877	-0.884876355
BM16	0	0	0	-1.63634247	-0.767596699	-0.675581183	-0.745260942	-0.700524823	-0.768080268
BM17	0	0	0	-1.560342732	-0.710377414	-0.831021202	-0.54860364	-0.522678282	-0.884876355
BM18	0	0	0	-1.472006581	-0.710377414	-0.714441187	-0.53455669	-0.509974957	-0.826478312
BM19	0	0	0	-1.43726848	-0.65315813	-0.636721178	-0.60479144	-0.522678282	-0.79727929
BM20	0	0	0	-1.107875915	-0.481500277	-0.636721178	-0.408134138	-0.395645038	-0.563687116
BM21	0	0	0	-0.634201233	-0.367061709	-0.442421154	-0.113148184	-0.116171901	-0.388492985
BM22	0	0	0	-0.423815324	-0.281232782	-0.559001168	-0.028866483	-0.001841982	-0.096502767
BM23	0	0	0	-0.536306202	-0.166794214	-0.714441187	-0.099101234	-0.001841982	-0.242497876
BM24	0	0	0	-0.312126756	-0.166794214	-0.481281159	0.041368268	0.074377964	-0.184099832
BM25	0	0	0	-0.201428053	-0.166794214	-0.32584114	0.055415219	0.099784613	-0.125701789
BM26	0	0	0	-0.183685277	-0.109574929	-0.24812113	0.027321318	0.036267991	-0.125701789
BM27	0	0	0	-0.117312104	-0.052355645	-0.364701145	0.125649969	0.137894586	-0.125701789
BM28	0	0	0	0.511787664	0.033473281	-0.053821107	0.518964575	0.493587669	0.137089407
BM29	0	0	0	0.319951851	0.090692566	-0.014961102	0.266119471	0.315741128	0.049492342
BM30	0	0	0	0.182203736	0.14791185	-0.442421154	0.238025571	0.328444452	0.107890385
BM31	0	0	0	0.720465384	0.14791185	0.023898903	0.392542023	0.544400966	0.487477669
BM32	0	0	0	0.904373868	0.176521492	0.218198927	0.547058475	0.67143421	0.399880603
BM33	0	0	0	0.680346472	0.205131134	-0.014961102	0.490870674	0.569807615	0.253885494
