Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
Dog	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alligator	2	2	2	2	2	2	3	3	2	2	2	2	3	2	8
Chimpanzee	3	1	3	3	3	1	4	3	3	3	3	2	3	2	3
Cow	4	1	4	4	4	2	3	4	1	2	1	1	1	3	4
Crow	5	3	5	5	5	4	2	5	4	4	4	4	4	6	5
Pigeon	5	3	5	5	5	4	2	5	4	4	4	1	4	6	5
Cheetah	6	1	1	6	1	2	3	4	5	1	3	1	2	4	2
Chiken	5	3	5	10	5	4	6	5	4	4	1	4	4	6	5
Bear	1	1	6	4	2	2	3	3	5	5	5	1	1	4	2
Cat	1	1	1	6	1	2	1	1	1	1	1	1	2	1	1
Rabbit	1	1	7	4	1	5	7	1	1	1	1	1	5	1	1
Frog	2	2	8	9	6	3	5	2	2	2	6	3	6	7	6
Goat	6	1	4	4	4	5	7	4	1	1	1	1	5	1	1
Tiger	3	1	1	6	1	2	3	4	5	1	2	1	2	4	2
Rhinoceros	7	1	3	4	2	5	3	4	5	2	5	1	7	5	2
Giraffe	4	1	9	7	4	5	3	4	5	3	5	1	7	5	4
Duck	5	3	5	10	5	4	2	5	4	4	4	4	4	6	5
Sparrow	5	3	5	5	5	4	2	5	4	3	4	4	4	6	5
Hippopotamus	7	1	2	4	2	5	3	2	5	2	5	1	7	5	2
Monkey	1	1	3	3	3	1	4	3	3	3	3	2	3	2	3
Turkey	5	3	5	10	5	4	6	5	4	4	1	4	4	6	5
Pig	4	1	4	4	4	2	7	4	1	1	1	1	5	3	1
Crane	5	3	5	5	5	4	2	5	4	4	4	4	4	6	5
Leopard	4	1	1	6	1	2	3	4	5	1	2	1	2	4	2
Ostrich	6	3	5	10	5	4	3	5	4	4	5	4	4	5	4
Lizard	8	2	8	9	6	3	5	2	2	2	6	3	8	7	6
Horse	1	1	4	4	4	1	3	4	1	1	1	1	5	3	4
Racoon	1	1	1	1	0	2	7	1	1	1	2	1	1	1	1
Tortoise	2	2	8	2	6	3	5	2	2	5	6	3	6	7	6
Snake	2	2	8	2	2	3	5	2	2	2	6	3	8	7	6
Lion	3	1	1	6	2	2	3	4	5	1	2	1	7	4	2
Elephant	7	1	2	7	4	5	3	4	5	5	2	1	7	5	2
Camel	7	1	4	7	4	5	3	4	5	3	5	1	7	5	4
Hawk	5	3	5	5	5	4	2	5	4	4	2	4	4	6	5
Fox	1	1	1	6	1	2	7	1	1	1	2	1	1	1	1
