0HR	15MIN	30MIN	1HR	2HR	4HR	6HR	8HR	12HR	16HR	20HR	24HR	UNSYN
0	-0.47393	-3.3219	-0.81097	0.11103	-0.59946	-1.3585	-1.0291	-1.8365	-1	-0.59946	-0.94342	-0.71312
0	0.65992	0.070389	0.20163	0.28688	-0.88897	-0.45403	-0.2863	-0.2863	-0.152	-0.45403	-0.41504	0.55582
0	0.1375	-0.043943	0	-0.152	-0.57777	-0.30401	-0.18442	-0.37707	-0.49411	-0.81097	-1.1203	-0.30401
0	-0.043943	0	-0.23447	-0.25154	-0.47393	-0.59946	-0.55639	-1.0893	-0.71312	-0.76121	-0.62149	-0.13606
0	0.27501	0.36737	0.11103	-0.16812	-0.18442	-0.59946	-0.23447	-0.57777	-0.78588	-0.2863	-0.73697	0.12433
0	0.53605	0.52607	0.1635	0.1375	0.20163	-0.34008	-0.37707	-0.35845	-0.49411	-0.57777	-1.4739	-0.8365
0	0.20163	0.1375	0	0.11103	-0.34008	-0.029146	0.042644	-0.76121	-0.81097	-1.1203	-1.3585	-0.88897
0	0.40054	0.43296	0.17632	0	-0.13606	0.28688	0.070389	-0.78588	-0.81097	-0.91594	-1.2176	-0.55639
0	0.014355	0.46467	0.27501	-0.34008	-0.23447	-0.35845	-0.45403	-0.64386	-0.78588	-1.2176	-1.0893	-0.57777
0	-0.23447	0.042644	0	-0.30401	-0.2863	-0.45403	-0.97143	-2.0589	-0.88897	-1.2176	-0.97143	0
0	0.1635	-0.12029	0.014355	-0.21759	-0.21759	-0.51457	-0.68966	-1.4739	-1.4344	-1.5146	-1.3959	-0.51457
0	0.29866	0.27501	-0.074001	-0.30401	-0.13606	-0.20091	-0.41504	-1.3219	-0.88897	-0.94342	-0.94342	-1.1203
0	-0.058894	0.25096	0.11103	-0.35845	-0.71312	-0.91594	-0.88897	-1.5564	-0.71312	-0.97143	-1.1203	-0.25154
0	-0.45403	-0.23447	-0.4344	-0.68966	-0.81097	-1.0893	-1.2176	-1.2515	-0.91594	-1.3959	-1.737	-0.81097
0	-0.59946	-1.0291	-0.76121	-0.029146	-0.23447	-1.2176	-2	-2.1203	-0.68966	-0.57777	-0.8625	-0.94342
0	-0.029146	-0.2863	-0.18442	-0.2863	-0.18442	-1.0589	-1.5564	-1	-0.1047	-0.71312	-0.41504	-0.18442
0	0.014355	-0.30401	-0.35845	-0.64386	-0.16812	-1.1203	-1.9434	-0.97143	-0.49411	-0.73697	-0.91594	-0.78588
0	0.11103	0.22651	0.042644	0.056584	0.070389	-0.37707	-1.1844	-0.64386	-0.4344	-0.18442	-0.57777	-0.51457
0	-0.21759	-1.0893	-0.94342	-0.37707	-1.0589	-1.2515	-1.6439	-2.3219	-1.6439	-1.0291	-1.2863	-0.8365
0	-0.30401	-1.0291	-0.41504	-0.2863	-0.73697	-1.152	-1.5146	-1.7859	-1.1203	-1.0291	-0.88897	-1.1203
0	-0.47393	-0.91594	-0.59946	-0.21759	-0.81097	-0.64386	-1.3959	-1.2515	-1.0893	-0.88897	-0.71312	-1.4739
0	-0.25154	-0.53533	-0.53533	-0.53533	-0.51457	-0.91594	-1.3959	-1.6897	-0.64386	-1.3585	-1.3585	-0.91594
0	-0.13606	-0.21759	-0.45403	0.18903	-0.57777	-0.62149	-1.1844	-1.2515	-0.41504	-1.0589	-0.88897	-0.45403
0	-0.12029	-0.30401	-0.30401	0.014355	-0.51457	-0.81097	-1.152	-1	-0.39593	-0.8365	-0.68966	-0.029146
0	-0.029146	-0.64386	-0.41504	0.21412	-0.41504	-0.8625	-1.8365	-1.3585	-0.4344	-0.66658	-0.81097	-1
0	0.41143	-0.32193	0.17632	0.37851	0.014355	-0.152	-0.91594	-0.91594	-0.16812	-0.18442	-0.41504	-0.34008
0	0	-0.4344	-0.074001	-0.074001	-0.16812	-0.45403	-0.8365	-1.3585	-0.32193	-0.47393	-0.8365	-0.20091
0	0.20163	-0.089267	-0.21759	0.23879	0.097611	-0.62149	-0.78588	-0.94342	-0.37707	-0.4344	-0.26882	-0.47393
0	-0.39593	-0.043943	-0.34008	-0.78588	-1.0291	-0.73697	-1.4344	-1.2515	-0.0145	-0.55639	-0.88897	-0.8625
0	-0.20091	-0.029146	-0.25154	-0.18442	-0.78588	-1	-1.0893	-1.2863	0.27501	-0.81097	-0.62149	-0.57777
0	-0.12029	-0.32193	-0.4344	-0.57777	-0.76121	-0.8625	-1.2176	-1.0589	-0.39593	-0.23447	-0.55639	-0.49411
0	-0.35845	-0.2863	-0.30401	-0.55639	-0.97143	-1.1203	-1.152	-1.4344	-0.12029	-0.45403	-0.39593	-0.73697
0	-0.21759	-0.57777	-0.34008	-0.4344	-0.68966	-0.97143	-0.94342	-0.94342	-0.16812	-0.51457	-0.37707	-0.91594
0	-0.029146	-0.45403	0.11103	-0.089267	-0.47393	-0.64386	-0.81097	-0.81097	-0.1047	-0.37707	-0.35845	-0.23447
0	0.056584	0.014355	-0.30401	-0.074001	-0.66658	-0.53533	-0.68966	-1.0291	-0.0145	-0.029146	-0.26882	-0.058894
0	-0.074001	-0.074001	0	-0.058894	-0.55639	-0.71312	-0.91594	-1.0893	-1.1203	-0.26882	-1.2176	-0.49411
0	0.32193	-0.029146	-0.37707	-0.029146	-0.8365	-0.81097	-0.97143	-1.3219	-0.8365	-0.68966	-0.4344	-0.68966
0	-0.16812	-0.32193	-0.55639	-0.20091	-0.59946	-0.76121	-0.8625	-1	-0.73697	-0.66658	-0.51457	-1.6439
0	0.40054	-0.0145	-0.35845	-0.029146	-0.73697	-0.73697	-0.62149	-1.0893	-0.91594	-0.97143	-0.8365	-1
0	0.042644	-0.26882	-0.55639	0.097611	-0.23447	-0.62149	-0.32193	-0.62149	-0.68966	-0.66658	-0.59946	-0.8625
0	-0.71312	-0.53533	-0.8625	-0.73697	-1.0291	-1.5146	-1.5146	-2.0589	-1.5146	-1	-0.81097	-1.3585
0	-0.074001	0.41143	0.40054	-0.34008	-0.88897	-0.81097	-1.5146	-1.4739	-1	-1.152	-1.0589	-0.41504
0	-0.55639	0.084064	-0.0145	-0.78588	-1.2515	-2.1844	-2.3219	-1.8365	-1	-0.97143	-0.91594	-1.2176
0	-0.089267	-0.074001	-0.21759	-0.59946	-0.73697	-1.0589	-1.152	-1.0589	-0.88897	-0.88897	-0.55639	-1.2176
0	-0.2863	-0.23447	-0.2863	-0.41504	-0.8625	-0.81097	-1.4344	-1	-0.49411	-0.91594	-0.62149	-0.51457
0	-0.30401	-0.18442	-0.53533	-0.35845	-0.78588	-1	-1.3219	-0.91594	-0.47393	-1.2176	-0.62149	-1.0893
0	0.11103	0.35614	0.21412	-0.0145	-0.55639	-0.66658	-1.3959	-1.3219	-0.4344	-0.8625	-0.91594	-0.94342
0	-0.23447	0.1375	0.028569	-0.25154	-0.55639	-0.34008	-1.6897	-1.4739	-0.39593	-0.94342	-0.78588	-1.0291
0	-1.1203	-0.2863	-0.47393	-1	-1.2515	-1.4344	-1.8365	-2.3219	-1.0893	-1.3219	-0.88897	-1.3585
0	-0.30401	0.28688	0.11103	-0.32193	-0.55639	-0.49411	-0.94342	-1.1844	-0.49411	-0.57777	-0.34008	-0.30401
0	-0.97143	-0.45403	-0.058894	-0.25154	-0.37707	-0.51457	-1.889	-1.2176	-0.66658	-1.6439	-1.3219	-1.4344
0	-0.2863	-0.074001	0.028569	-0.4344	-0.23447	-0.4344	-0.88897	-0.62149	-0.49411	-1.2176	-0.8625	-0.25154
0	0.29866	0.042644	-0.0145	0.042644	-0.20091	-0.66658	-0.8625	-1.2515	-0.78588	-1	-0.49411	-1.3219
0	-0.32193	-0.59946	-0.47393	-0.4344	-0.55639	-0.97143	-1.737	-1.4739	-1.2176	-1.6897	-1.5564	-1.6897
0	-0.12029	-0.39593	-0.51457	-0.1047	-0.21759	-0.68966	-1	-0.62149	-0.8365	-0.81097	-0.91594	-1.9434
0	-0.45403	0.38957	-0.23447	-0.16812	-0.73697	-0.81097	-1.2863	-1.2863	-0.81097	-1.2176	-1.3219	-1.5564
0	-0.089267	-0.0145	-0.35845	0.097611	-0.73697	-0.81097	-1.5564	-1.4739	-0.94342	-1.2176	-1.3959	-1.6897
0	0.042644	-0.13606	-0.35845	-0.37707	-0.55639	-0.94342	-1.1203	-1	-0.62149	-0.64386	-0.73697	-1.2176
0	0.014355	-0.1047	-0.23447	-0.34008	-0.57777	-1.152	-1.0893	-1.1844	-1.2863	-1.3959	-1.2176	-2.2515
0	-0.21759	-0.23447	-0.089267	-0.57777	-0.35845	-0.64386	-1.152	-0.91594	-1.0589	-1.1203	-1.3219	-1.5564
0	-0.26882	-0.62149	-0.53533	-0.97143	-0.66658	-0.76121	-1.2863	-1.6439	-0.97143	-1.4739	-1.3219	-1.1844
0	-0.51457	-0.39593	-0.23447	-0.71312	-0.47393	-0.45403	-1.1844	-1.0893	-0.68966	-0.81097	-0.94342	-1.2863
0	0.15056	0.070389	-0.49411	-0.26882	-0.47393	-0.53533	-0.55639	-0.73697	-0.47393	-0.59946	-0.81097	-1.7859
0	-0.058894	0.26303	0.056584	-0.39593	-0.16812	-0.34008	-0.26882	-0.66658	-0.32193	-0.45403	-0.81097	-0.8365
0	0	0.084064	0.028569	-0.089267	0.056584	-1.1203	-0.8365	-0.25154	-0.34008	-0.81097	-0.68966	-0.20091
0	0.028569	0.084064	-0.41504	-0.0145	-0.62149	-1.1203	-1.6897	-1.9434	-1.5564	-2.0589	-1.889	-2.1844
0	-0.1047	0.26303	-0.30401	-0.043943	-0.35845	-0.53533	-0.66658	-1.2863	-1.2863	-1.6439	-1.5995	-1.152
0	0.042644	-0.71312	-0.39593	0.042644	-0.47393	-0.71312	-1.0291	-1.5146	-1.4344	-1.7859	-1.8365	-1.4344
0	0.056584	-0.20091	-0.089267	-0.058894	-0.32193	-0.59946	-0.78588	-1.2176	-0.88897	-1.1844	-0.97143	-0.71312
0	-0.1047	-0.57777	-0.53533	-0.68966	-0.41504	-0.88897	-1.2515	-1.4344	-0.94342	-1.7859	-2	-1.7859
0	-0.029146	-0.18442	-0.57777	-0.4344	-0.64386	-1.2176	-1.6439	-2.1844	-2.0589	-2	-1.1203	-2.1203
0	-0.18442	-0.37707	-0.53533	-0.32193	-0.8365	-1.3219	-1.4739	-2.1844	-2.3219	-2.0589	-1.1203	-2.2515
0	0	-0.058894	0.27501	0.1375	-0.074001	-0.55639	-1.2176	-1.1203	-1.0291	-0.8625	-0.78588	-1.1844
